Bank information,,,,,,,Mandatory criteria,,,,,,,,,,,,,Additional capabilities (non-mandatory for certification),,,,,,,,,,,,,,,,,,,,,,,,,
BIC of the mother organisation,BIC8 (branch BIC),Name of the mother organisation,Name of BIC8 (Branch Name),Country,Country code,Certification,SCORE,Credit Transfers (MT101),Payments pain.001 ISO 20022 (advanced certification only),Cash Reporting (MT940),MT 942 (advanced certification only),Cash Management camt.053 ISO 20022 (advanced certification only),File Act (RT or S&F),Testing,Onboarding guide,Support,Staff trained,Documentation,Contact email,gpi,,Treasury (MT),,Cash Management (MT),,Trade MT798,,,,Trade FA,Payments (ISO20022),,Cash Management (ISO20022),,,eStatements (PDF),Bank Account Management (ISO20022),CGI-MP guidelines,3SKey,,MyStandards,,TSU / BPO,Staff certified,Hyperlink to bank's webpage
SHBKKRSE,SHBKKZKA,SHINHAN BANK,SHINHAN BANK KAZAKHSTAN JSC,Kazakhstan,KZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKVNVX,SHINHAN BANK,SHINHAN BANK VIETNAM,Vietnam,VN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKCNBJ,SHINHAN BANK,SHINHAN BANK(CHINA) LTD,China,CN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKHKHX,SHINHAN BANK,"SHINHAN BANK, HONG KONG BRANCH",Hong Kong,HK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKGB2L,SHINHAN BANK,"SHINHAN BANK, London",United Kingdom,GB,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKKHPP,SHINHAN BANK,SHINHAN KHMER BANK,Cambodia,KH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKKRSE,SHINHAN BANK,Shinhan Bank,Korea,KR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,namgod@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,http://www.shinhan.com
SHBKKRSE,SHBKAU2S,SHINHAN BANK,"SHINHAN BANK CO., LTD",Australia,AU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,ckseo@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,
SHBKKRSE,SHBKIDJA,SHINHAN BANK,PT. BANK SHINHAN INDONESIA,Indonesia,ID,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,ckseo@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,
SHBKKRSE,SHBKMMMY,SHINHAN BANK,"SHINHAN BANK CO., LTD.(YANGONBRANCH)",Myanmar,MM,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,ckseo@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,
SHBKKRSE,SHBKPHMM,SHINHAN BANK,SHINHAN BANK MANILA BRANCH,Philippines,PH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,ckseo@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,
SHBKKRSE,SHBKAEAD,SHINHAN BANK,SHINHAN BANK CO LTD. DUBAI BRANCH,United Arab Emirates,AE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,ckseo@shinhan.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,
SMBCJPJT,SUNIIDJA,SUMITOMO MITSUI BANKING CORPORATION,PT BANK SUMITOMO MITSUI INDONESIA,Indonesia,ID,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.smbc.co.jp/global/supporting/our_services/diagram/diagram10.html?value=/global/asia/cash_management/index.html
SMBCJPJT,SMBCAU2S,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION,Australia,AU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.smbc.co.jp/global/supporting/our_services/diagram/diagram10.html?value=/global/asia/cash_management/index.html
SMBCJPJT,SMBCCN22,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION,China,CN,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.smbc.co.jp/global/supporting/our_services/diagram/diagram10.html?value=/global/asia/cash_management/index.html
SMBCJPJT,SMBCHKHH,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION,Hong Kong,HK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.smbc.co.jp/global/supporting/our_services/diagram/diagram10.html?value=/global/asia/cash_management/index.html
SMBCJPJT,SMBCINDD,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION,India,IN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.smbc.co.jp/global/supporting/our_services/diagram/diagram10.html?value=/global/asia/cash_management/index.html
SMBCJPJT,SMBCJPJT,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION,Japan,JP,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes,http://www.smbc.co.jp/global/supporting/our_services/diagram/diagram10.html?value=/global/asia/cash_management/index.html
SMBCJPJT,SMBCKRSE,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION,Korea,KR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.smbc.co.jp/global/supporting/our_services/diagram/diagram10.html?value=/global/asia/cash_management/index.html
SMBCJPJT,SMBCMYKL,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION,Malaysia,MY,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.smbc.co.jp/global/supporting/our_services/diagram/diagram10.html?value=/global/asia/cash_management/index.html
SMBCJPJT,SMBCSGSG,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION,Singapore,SG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.smbc.co.jp/global/supporting/our_services/diagram/diagram10.html?value=/global/asia/cash_management/index.html
SMBCJPJT,SMBCTWTP,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION,Taiwan,TW,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.smbc.co.jp/global/supporting/our_services/diagram/diagram10.html?value=/global/asia/cash_management/index.html
SMBCJPJT,SMBCTHBK,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION,Thailand,TH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.smbc.co.jp/global/supporting/our_services/diagram/diagram10.html?value=/global/asia/cash_management/index.html
SMBCJPJT,SMBCUS33,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION,United States,US,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,Vanessa_Angeles@smbcgroup.com,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,https://www.smbcgroup.com/Americas/cms/index
SMBCJPJT,SMBCVNVX,SUMITOMO MITSUI BANKING CORPORATION,SUMITOMO MITSUI BANKING CORPORATION,Vietnam,VN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,http://www.smbc.co.jp/global/supporting/our_services/diagram/diagram10.html?value=/global/asia/cash_management/index.html
SOGEFRPP,SOGEDZAL,Société Générale,Société Générale Algerie,Algeria,DZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGABATWW,Société Générale,Société Générale Vienna,Austria,AT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGABBEB2,Société Générale,Société Générale Brussels,Belgium,BE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGEBJBJ,Société Générale,Société Générale de Banques au Bénin,Benin,BJ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGBBBFBF,Société Générale,SG de Banques au Burkina Faso,Burkina Faso,BF,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGCMCMC1,Société Générale,Société Générale de Banques au Cameroon,Cameroon,CM,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGETDND,Société Générale,Société Générale Tchad,Chad,TD,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGCLCNBJ,Société Générale,SG China Ltd,China,CN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGECGCG,Société Générale,Société Générale Congo,Congo,CD,entry,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGCICIAB,Société Générale,Société Générale de Banques en Cote d'Ivoire,Cote d'Ivoire,CI,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGECY2N,Société Générale,Société Générale Cyprus,Cyprus,CY,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,KOMBCZPP,Société Générale,Komercni Banka,Czech Republic,CZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGEFRPP,Société Générale,Société Générale,France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGEGPGP,Société Générale,Société Générale de Banque aux Antilles -Guadeloupe,France,GP,entry,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGEMQM1,Société Générale,Société Générale de Banque aux Antilles - Martinique,France,MT,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,BFCORERX,Société Générale,BFC - Océan Indien (Réunion - Mayotte),France,FR,entry,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,BPOLPFTP,Société Générale,Banque de Polynésie,French Polynesia,PF,entry,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGEDEFF,Société Générale,Société Générale Frankfurt,Germany,DE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SSEBGHAC,Société Générale,Société Générale Ghane Ltd,Ghana,GH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGGNGNGN,Société Générale,Société Générale de Banques en Guinée,Guinea,GN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGGEGQGQ,Société Générale,Société Générale de Banue en Guinée Equatorial,Guinee Equatorial,GQ,entry,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGEHKHH,Société Générale,Société Générale Hong Kong,Hong Kong,HK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGEINBB,Société Générale,Société Générale Mumbai,India,IN,entry,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGEITMM,Société Générale,Société Générale Milano,Italy,IT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGNPJPJT,Société Générale,Société Générale Tokyo,Japan,JP,entry,no,no,no,no,no,no,no,no,no,no,no,no,n/a,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGMEJOAM,Société Générale,Société Générale de Banque Jordanie,Jordan,JO,entry,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGLILBBX,Société Générale,Société Générale de Banque au Liban,Lebanon,LB,entry,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGABLULL,Société Générale,SG Bank & Trust Luxembourg,Luxembourg,LU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,OHRDMK22,Société Générale,Ohridska Banka,Macedonia,MK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,BFAVMGMG,Société Générale,BFV Société Générale,Madagascar,MG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,BIIMMRMR,Société Générale,Société Générale Mauritanie,Mauritania,MR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGEMCM1,Société Générale,Société Générale,Monaco,MC,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,PDBPMEPG,Société Générale,Podgoricka Banka,Montenegro,ME,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGMBMAMC,Société Générale,Société Générale Maroc,Morocco,MA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGEMZMA,Société Générale,Société Générale Mozambique,Mozambique,MZ,entry,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGENL2A,Société Générale,Société Générale Amsterdam,Netherlands,NL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGENCNN,Société Générale,SG Calédonienne de Banque,New Caledonia,NC,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGEPLPW,Société Générale,Société Générale Warsaw,Poland,PL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,MOBBMD22,Société Générale,Mobias Banka,Republic of Moldova,MD,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGYRSBG,Société Générale,SG Banka Srbija,Republic of Serbia,RS,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,BRDEROBU,Société Générale,BRD,Romania,RO,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,RSBNRUMM,Société Générale,Rosbank,Russia,RU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGSNSNDA,Société Générale,Société Générale de Banques au Sénégal,Senegal,SN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGESGSG,Société Générale,Société Générale Singapore,Singapore,SG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,KOMBSKBA,Société Générale,KB Bratislavia,Slovakia,SK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SKBASI2X,Société Générale,SKB Banka,Slovenia,SI,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGEESMM,Société Générale,Société Générale Madrid,Spain,ES,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SGABCHZZ,Société Générale,Société Générale Zurich,Switzerland,CH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,SOGETGTG,Société Générale,Société Générale Togo,Togo,TG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
SOGEFRPP,UIBKTNTT,Société Générale,UIB-Union Internationale de Banques,Tunisia,TN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,contact.cashmanagement@socgen.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,https://www.societegenerale.com/fr/accueil
